label,text
spam,Free ringtones! Text TONE to 88888 and get unlimited downloads today. Reply STOP to opt out.
spam,Limited time offer! Get 90% off on all products. Buy now before it's gone! Don't miss this chance!
ham,"Mom said dinner is ready, come downstairs. Let me know."
ham,"I'll be a few minutes late, traffic is heavy today. Thanks!"
ham,Are you free for a call this afternoon to discuss the budget? Talk later.
spam,"Congratulations, you have won a lottery of $1,000,000! Send your details to claim. 100% guaranteed."
ham,"Let's catch up this weekend, it's been a while. Let me know."
ham,Don't forget to pick up milk on your way home. Take care.
spam,"Your loan of $10,000 has been approved. Reply YES to receive funds today. T&C apply."
spam,You've been chosen for a cash reward of $500. Text CASH to 12345 to redeem. Reply STOP to opt out.
ham,It was great catching up with you at the reunion last night.
spam,Hot singles in your area want to meet you tonight! Click here now. Reply STOP to opt out.
spam,"Claim your free vacation package to Bahamas! Limited slots available, act fast! 100% guaranteed."
ham,Don't forget to pick up milk on your way home. See you soon.
spam,FREE entry into our $5000 weekly draw. Text WIN to 80086 now!
ham,Let me know if you need anything from the grocery store. Let me know.
ham,"Thanks for helping me move last weekend, I really appreciate it. See you soon."
spam,FREE entry into our $5000 weekly draw. Text WIN to 80086 now!
ham,I booked the flight tickets for our trip in December. Talk later.
ham,"Mom said dinner is ready, come downstairs."
spam,URGENT! Your account has been suspended. Click here to verify your details immediately. Call now!!!
ham,The meeting has been rescheduled to 3 PM on Thursday. Take care.
spam,"Special offer just for you: buy one get one free on all items, click link now."
spam,"Your loan of $10,000 has been approved. Reply YES to receive funds today. Call now!!!"
ham,Are you free for a call this afternoon to discuss the budget? Take care.
spam,WINNER!! You have been selected to receive a $1000 cash prize. Call now to claim! Call now!!!
spam,"Act now! Your subscription is about to expire, renew with 70% discount instantly."
ham,The project deadline has been moved to next Monday. Thanks!
spam,Hot singles in your area want to meet you tonight! Click here now. T&C apply.
spam,"Act now! Your subscription is about to expire, renew with 70% discount instantly. T&C apply."
ham,"Hey, are we still meeting for lunch tomorrow at noon?"
ham,Happy birthday! Hope you have a wonderful day. Take care.
spam,FREE entry into our $5000 weekly draw. Text WIN to 80086 now! Don't miss this chance!
spam,Congratulations! You've won a free iPhone. Claim your prize now at bit.ly/claim Don't miss this chance!
ham,Happy birthday! Hope you have a wonderful day. Let me know.
ham,Are you free for a call this afternoon to discuss the budget? Talk later.
ham,Did you finish watching that show we talked about? Take care.
ham,The project deadline has been moved to next Monday. Let me know.
spam,Congratulations! You've won a free iPhone. Claim your prize now at bit.ly/claim Call now!!!
spam,Your package could not be delivered. Click here to reschedule and pay a small fee. Limited time only!
ham,"Hey, are we still meeting for lunch tomorrow at noon? See you soon."
spam,Your package could not be delivered. Click here to reschedule and pay a small fee. Don't miss this chance!
ham,"Thanks for helping me move last weekend, I really appreciate it. Take care."
spam,Hurry! Only 3 hours left to claim your free gift card worth $100. Reply STOP to opt out.
ham,Please review the attached document and let me know your thoughts. Talk later.
spam,URGENT! Your account has been suspended. Click here to verify your details immediately. Reply STOP to opt out.
ham,I booked the flight tickets for our trip in December. Take care.
spam,URGENT: Your bank account will be locked. Verify your PIN immediately at this link.
ham,Please review the attached document and let me know your thoughts. See you soon.
ham,Don't forget to pick up milk on your way home. Take care.
spam,"Special offer just for you: buy one get one free on all items, click link now. Limited time only!"
spam,"Congratulations, you have won a lottery of $1,000,000! Send your details to claim. Don't miss this chance!"
spam,Congrats! You are eligible for a free credit card upgrade. Call 1800-555-0199 now. Don't miss this chance!
ham,Let me know if you need anything from the grocery store. Let me know.
spam,Hot singles in your area want to meet you tonight! Click here now. T&C apply.
ham,It was great catching up with you at the reunion last night. See you soon.
spam,Hot singles in your area want to meet you tonight! Click here now. Reply STOP to opt out.
ham,Can you pick up the kids from school today? Let me know.
spam,WINNER!! You have been selected to receive a $1000 cash prize. Call now to claim! 100% guaranteed.
spam,"Your loan of $10,000 has been approved. Reply YES to receive funds today. 100% guaranteed."
ham,Happy birthday! Hope you have a wonderful day. Let me know.
spam,Congrats! You are eligible for a free credit card upgrade. Call 1800-555-0199 now. T&C apply.
ham,Please review the attached document and let me know your thoughts. Let me know.
ham,It was great catching up with you at the reunion last night. Take care.
spam,FREE entry into our $5000 weekly draw. Text WIN to 80086 now! Reply STOP to opt out.
spam,Congrats! You are eligible for a free credit card upgrade. Call 1800-555-0199 now. Call now!!!
ham,Can you send me the report before the end of the day? Thanks!
spam,Congrats! You are eligible for a free credit card upgrade. Call 1800-555-0199 now. T&C apply.
ham,Can you send me the report before the end of the day?
ham,"Let's catch up this weekend, it's been a while. Thanks!"
spam,"Make $5000 per week working from home! No experience needed, sign up now! Call now!!!"
spam,URGENT! Your account has been suspended. Click here to verify your details immediately. Call now!!!
ham,The meeting has been rescheduled to 3 PM on Thursday. Talk later.
ham,It was great catching up with you at the reunion last night.
ham,"Mom said dinner is ready, come downstairs. Let me know."
ham,Please review the attached document and let me know your thoughts. Let me know.
ham,"Thanks for the quick reply, I'll get back to you soon. Thanks!"
spam,URGENT! Your account has been suspended. Click here to verify your details immediately. Reply STOP to opt out.
spam,Your package could not be delivered. Click here to reschedule and pay a small fee. Limited time only!
spam,Hot singles in your area want to meet you tonight! Click here now. 100% guaranteed.
spam,Free ringtones! Text TONE to 88888 and get unlimited downloads today. Don't miss this chance!
ham,The meeting has been rescheduled to 3 PM on Thursday. Let me know.
spam,Your computer has a virus. Call our support team immediately at this toll free number. T&C apply.
spam,Congrats! You are eligible for a free credit card upgrade. Call 1800-555-0199 now. 100% guaranteed.
spam,"Act now! Your subscription is about to expire, renew with 70% discount instantly. 100% guaranteed."
ham,"Thanks for the quick reply, I'll get back to you soon. Take care."
spam,Your package could not be delivered. Click here to reschedule and pay a small fee. Reply STOP to opt out.
spam,Limited time offer! Get 90% off on all products. Buy now before it's gone! T&C apply.
spam,URGENT: Your bank account will be locked. Verify your PIN immediately at this link. 100% guaranteed.
spam,"Claim your free vacation package to Bahamas! Limited slots available, act fast! 100% guaranteed."
spam,"Claim your free vacation package to Bahamas! Limited slots available, act fast! Don't miss this chance!"
spam,Free ringtones! Text TONE to 88888 and get unlimited downloads today. T&C apply.
ham,Are you free for a call this afternoon to discuss the budget? Let me know.
ham,"Let's catch up this weekend, it's been a while. See you soon."
ham,Did you finish watching that show we talked about? See you soon.
spam,Hot singles in your area want to meet you tonight! Click here now. 100% guaranteed.
spam,Hurry! Only 3 hours left to claim your free gift card worth $100. Don't miss this chance!
spam,"Your loan of $10,000 has been approved. Reply YES to receive funds today. Call now!!!"
spam,Hot singles in your area want to meet you tonight! Click here now. Reply STOP to opt out.
spam,URGENT! Your account has been suspended. Click here to verify your details immediately. Call now!!!
spam,FREE entry into our $5000 weekly draw. Text WIN to 80086 now! Call now!!!
spam,Hot singles in your area want to meet you tonight! Click here now.
ham,"Hey, are we still meeting for lunch tomorrow at noon? See you soon."
spam,Hurry! Only 3 hours left to claim your free gift card worth $100. T&C apply.
ham,"Thanks for the quick reply, I'll get back to you soon."
ham,"Let's catch up this weekend, it's been a while."
ham,Did you finish watching that show we talked about? See you soon.
ham,I booked the flight tickets for our trip in December. Thanks!
ham,"I'll be a few minutes late, traffic is heavy today. Thanks!"
ham,Don't forget to pick up milk on your way home. Thanks!
ham,Please review the attached document and let me know your thoughts. See you soon.
ham,"Thanks for the quick reply, I'll get back to you soon. Let me know."
spam,FREE entry into our $5000 weekly draw. Text WIN to 80086 now! Limited time only!
spam,You've been chosen for a cash reward of $500. Text CASH to 12345 to redeem. T&C apply.
spam,"Act now! Your subscription is about to expire, renew with 70% discount instantly. Reply STOP to opt out."
ham,"Thanks for helping me move last weekend, I really appreciate it. Talk later."
ham,Did you finish watching that show we talked about? Thanks!
spam,Hot singles in your area want to meet you tonight! Click here now. Call now!!!
ham,"Great job on the presentation today, the client loved it. Take care."
spam,Your computer has a virus. Call our support team immediately at this toll free number. T&C apply.
ham,"I'll be a few minutes late, traffic is heavy today. Talk later."
ham,The meeting has been rescheduled to 3 PM on Thursday. Thanks!
ham,Don't forget to pick up milk on your way home. See you soon.
ham,Please review the attached document and let me know your thoughts. Thanks!
ham,Did you finish watching that show we talked about? Talk later.
ham,"I'll be a few minutes late, traffic is heavy today. Take care."
spam,"Special offer just for you: buy one get one free on all items, click link now. Don't miss this chance!"
ham,"Mom said dinner is ready, come downstairs. Thanks!"
spam,FREE entry into our $5000 weekly draw. Text WIN to 80086 now! Call now!!!
spam,"Your loan of $10,000 has been approved. Reply YES to receive funds today. Reply STOP to opt out."
spam,FREE entry into our $5000 weekly draw. Text WIN to 80086 now!
ham,Happy birthday! Hope you have a wonderful day. Talk later.
ham,"Let's catch up this weekend, it's been a while."
ham,"Mom said dinner is ready, come downstairs. See you soon."
spam,You've been chosen for a cash reward of $500. Text CASH to 12345 to redeem. 100% guaranteed.
ham,Happy birthday! Hope you have a wonderful day. Let me know.
spam,You've been chosen for a cash reward of $500. Text CASH to 12345 to redeem. T&C apply.
ham,"Mom said dinner is ready, come downstairs. Take care."
spam,FREE entry into our $5000 weekly draw. Text WIN to 80086 now! Don't miss this chance!
ham,Reminder: your dentist appointment is tomorrow at 10 AM. See you soon.
spam,URGENT: Your bank account will be locked. Verify your PIN immediately at this link.
spam,URGENT! Your account has been suspended. Click here to verify your details immediately. 100% guaranteed.
spam,You have 1 new voicemail. Press 9 to listen or visit http://voicemail-alert.com Reply STOP to opt out.
spam,Your computer has a virus. Call our support team immediately at this toll free number.
ham,Did you finish watching that show we talked about? Let me know.
ham,"Hey, are we still meeting for lunch tomorrow at noon?"
spam,Congratulations! You've won a free iPhone. Claim your prize now at bit.ly/claim T&C apply.
spam,"Claim your free vacation package to Bahamas! Limited slots available, act fast! Don't miss this chance!"
ham,Please review the attached document and let me know your thoughts. Talk later.
ham,"Thanks for the quick reply, I'll get back to you soon. Take care."
ham,Let me know if you need anything from the grocery store. Thanks!
spam,"Claim your free vacation package to Bahamas! Limited slots available, act fast! Reply STOP to opt out."
spam,"Act now! Your subscription is about to expire, renew with 70% discount instantly."
ham,Are you free for a call this afternoon to discuss the budget? Let me know.
spam,"Act now! Your subscription is about to expire, renew with 70% discount instantly. Don't miss this chance!"
ham,The project deadline has been moved to next Monday. See you soon.
spam,"Special offer just for you: buy one get one free on all items, click link now. 100% guaranteed."
spam,"Congratulations, you have won a lottery of $1,000,000! Send your details to claim. Reply STOP to opt out."
ham,"Mom said dinner is ready, come downstairs. Let me know."
spam,Your computer has a virus. Call our support team immediately at this toll free number. Don't miss this chance!
ham,I booked the flight tickets for our trip in December. Take care.
ham,It was great catching up with you at the reunion last night. Let me know.
ham,"I'll be a few minutes late, traffic is heavy today. See you soon."
spam,URGENT: Your bank account will be locked. Verify your PIN immediately at this link. Don't miss this chance!
spam,You've been chosen for a cash reward of $500. Text CASH to 12345 to redeem. Reply STOP to opt out.
ham,The meeting has been rescheduled to 3 PM on Thursday. Let me know.
spam,Hurry! Only 3 hours left to claim your free gift card worth $100. Reply STOP to opt out.
ham,I booked the flight tickets for our trip in December.
spam,Congrats! You are eligible for a free credit card upgrade. Call 1800-555-0199 now. Reply STOP to opt out.
ham,Can you send me the report before the end of the day? Talk later.
spam,Congrats! You are eligible for a free credit card upgrade. Call 1800-555-0199 now. Reply STOP to opt out.
spam,Limited time offer! Get 90% off on all products. Buy now before it's gone! T&C apply.
spam,Your computer has a virus. Call our support team immediately at this toll free number. Limited time only!
ham,It was great catching up with you at the reunion last night. Talk later.
spam,Hurry! Only 3 hours left to claim your free gift card worth $100.
ham,Please review the attached document and let me know your thoughts. Talk later.
spam,Congratulations! You've won a free iPhone. Claim your prize now at bit.ly/claim Don't miss this chance!
spam,You have 1 new voicemail. Press 9 to listen or visit http://voicemail-alert.com T&C apply.
ham,Please review the attached document and let me know your thoughts. Let me know.
